gene,H2O_30m_A,H2O_30m_B,H2O_30m_C,PNA79_30m_A,PNA79_30m_B,PNA79_30m_C,PNAscr_30m_A,PNAscr_30m_B,PNAscr_30m_C,H2O_16h_A,H2O_16h_B,H2O_16h_C,PNA79_16h_A,PNA79_16h_B,PNA79_16h_C,PNAscr_16h_A,PNAscr_16h_B,PNAscr_16h_C
cds-C4N14_09130,68,106,94,68,111,67,77,49,74,744,532,753,1378,1235,736,301,256,217
cds-C4N14_09135,783,1052,818,552,1323,636,1027,739,596,1430,1110,1341,1201,1357,712,876,837,870
cds-C4N14_09140,68,101,81,56,125,91,80,67,89,375,308,383,391,345,221,238,291,235
cds-C4N14_09145,158,187,169,183,258,183,268,189,191,923,717,875,559,559,368,370,438,378
cds-C4N14_09150,107,100,77,80,117,76,114,63,82,602,478,575,352,385,204,212,218,193
cds-C4N14_09155,339,513,417,307,619,381,600,348,468,1448,1185,1582,1138,1438,828,796,926,964
cds-C4N14_09160,932,893,983,1536,1364,1242,2047,1064,1489,444,674,798,538,725,447,704,656,814
cds-C4N14_09165,141,198,167,188,249,159,277,205,218,253,206,374,229,291,167,248,233,228
cds-C4N14_09170,51,74,68,41,98,38,74,60,51,265,203,261,180,226,122,82,93,103
cds-C4N14_09175,1313,1899,1520,827,2208,922,1669,889,1147,2313,1613,1834,1587,2366,1239,967,975,947
cds-C4N14_09180,360,449,379,242,508,292,455,274,330,3094,2363,3041,1309,1682,1017,698,773,666
cds-C4N14_09185,461,682,596,346,754,461,628,424,401,3909,2972,3840,1958,2182,1406,1223,1221,1161
cds-C4N14_09190,8,8,5,9,11,7,12,8,3,140,128,192,56,100,48,50,50,40
cds-C4N14_09195,83,86,68,69,121,51,90,61,60,590,473,595,334,370,231,200,212,160
cds-C4N14_09200,105,149,140,54,163,87,119,79,84,276,222,321,566,566,321,219,265,250
cds-C4N14_09205,3,12,14,11,23,6,11,8,14,2,5,7,5,7,13,11,10,15
cds-C4N14_09210,36,45,35,62,42,34,80,38,38,26,36,34,48,37,25,30,37,35
cds-C4N14_09215,26,39,31,42,45,35,55,22,35,30,24,39,40,38,15,34,33,54
cds-C4N14_09220,195,316,296,177,359,229,332,203,269,202,211,321,162,196,131,243,206,334
cds-C4N14_09225,658,994,779,466,968,446,800,487,431,1287,1055,1487,1277,1580,1023,875,877,987
cds-C4N14_09230,178,205,159,112,217,128,166,110,136,617,493,713,286,290,204,282,318,306
cds-C4N14_09235,195,265,232,142,324,172,268,127,193,440,524,630,1069,920,701,454,521,641
cds-C4N14_09240,175,252,241,157,321,169,299,157,239,1013,779,1042,550,773,473,475,491,464
cds-C4N14_09245,28,26,23,39,50,32,41,25,33,262,265,310,126,155,130,80,85,89
cds-C4N14_09250,261,305,229,182,326,145,288,178,179,844,568,689,627,886,554,340,334,370
cds-C4N14_09255,267,440,361,182,532,257,371,240,292,2015,1497,1686,1681,1721,1099,714,844,720
cds-C4N14_09260,129,133,117,93,172,102,162,77,107,1069,726,977,535,538,345,279,281,235
cds-C4N14_09265,82,141,106,63,151,54,110,88,79,922,686,861,346,503,277,300,300,306
cds-C4N14_09270,844,1033,1083,577,1159,669,999,514,756,2273,1968,2616,1610,1818,1255,1616,1878,1535
cds-C4N14_09275,80,107,93,112,130,135,165,89,119,304,309,394,326,363,214,305,263,343
cds-C4N14_09280,78,119,89,76,119,53,104,59,68,298,216,285,260,317,179,210,159,204
