gene,H2O_30m_A,H2O_30m_B,H2O_30m_C,PNA79_30m_A,PNA79_30m_B,PNA79_30m_C,PNAscr_30m_A,PNAscr_30m_B,PNAscr_30m_C,H2O_16h_A,H2O_16h_B,H2O_16h_C,PNA79_16h_A,PNA79_16h_B,PNA79_16h_C,PNAscr_16h_A,PNAscr_16h_B,PNAscr_16h_C
cds-C4N14_05785,55.6058021,64.63164895,68.0107577,47.76522684,50.7838628,56.44395592,55.43811874,67.42889896,55.38929506,95.50639131,87.1195502,81.32483639,90.33541412,99.86815764,91.4198733,81.63481041,77.29957855,66.94676322
cds-C4N14_05790,289.706229,187.9105349,232.9001487,489.9163132,275.7845883,417.4500907,420.8771464,354.0017196,450.5706118,360.43088,374.3296994,351.6103221,265.637471,272.31602,235.3444036,277.6979021,267.3695379,257.252283
cds-C4N14_05795,43.92858366,46.27945234,45.50360048,50.347131,55.36851708,49.38846143,43.7470869,68.72560856,46.33527568,134.2432493,115.5561986,111.4229989,84.49979305,88.30846577,92.96412792,71.8665425,72.61475561,56.41199338
cds-C4N14_05800,409.2587035,313.1842249,264.7037404,251.735655,335.7377596,236.9470233,307.3609985,279.4409178,177.3522621,287.4096764,241.4529967,225.0385791,390.7531866,483.422524,408.9186225,280.1399691,269.042689,265.0684026
cds-C4N14_05805,1775.493261,1195.286545,1051.475671,1034.69809,1442.755436,1222.36442,1126.864618,1276.610597,1104.057776,1780.559715,1459.317095,1517.26631,4315.791916,4289.024691,3970.896321,1936.210247,1984.691777,2115.449752
cds-C4N14_05810,132.341809,94.15474786,114.9822163,211.0706646,102.6257227,150.5172158,158.394625,151.7150227,152.3205614,103.7435393,108.576294,106.639185,102.2400811,91.71952239,101.6119538,113.0328144,119.1283548,124.7180817
cds-C4N14_05815,60.05426627,92.95786547,69.47861578,52.92903515,64.18515993,66.43923978,67.50628065,70.02231816,60.71518882,28.9413307,33.08991818,35.47995313,45.98469401,73.52722043,55.28431527,56.86527392,49.85990132,61.84929394
cds-C4N14_05820,2046.849575,2091.352493,1861.733331,1573.025106,2035.233835,1740.943266,1433.848486,1633.205736,1527.998919,405.1786298,363.213555,418.5837167,265.4040461,248.8176299,251.4046516,429.8037881,433.6807524,482.220594
cds-C4N14_05825,86.18899326,80.19112,65.56432757,54.86546327,69.47514564,50.56437718,61.09506964,59.00028659,57.51965257,73.02120362,64.88726142,77.93630154,72.59512607,58.93547823,56.51971897,130.47615,134.5213445,119.9604437
cds-C4N14_05830,75.06783284,75.40359044,81.71076645,69.71141215,90.28242276,78.78635514,82.21435297,85.5828333,72.43215508,46.97400598,56.35626689,53.41925528,59.99018457,54.38740274,66.09409759,84.4257441,81.98440149,88.69596549
cds-C4N14_05835,149.5796077,144.4238082,172.2286814,234.953278,141.0662856,169.3318678,176.8739979,168.5722474,176.2870833,34.95222246,54.54666199,50.23004601,64.65868142,51.54485556,59.91707912,92.44967846,95.03497969,107.7265175
cds-C4N14_05840,205.1854098,150.8071809,186.4179761,422.1413291,212.6574255,356.3024718,343.5654842,337.7928496,334.4661279,62.33517382,96.42608968,96.07492927,225.488398,222.6661959,218.3576028,191.8766911,205.462949,222.2496606
cds-C4N14_05845,20.01808876,13.96362786,10.27500656,12.26404473,15.1646257,20.5785256,12.0681619,14.91216035,13.31473439,6.678768623,14.73535419,10.96290687,15.17261477,18.38180511,18.83990632,18.8388024,19.7431824,18.35088941
cds-C4N14_05850,174.0461606,118.4913564,128.192939,145.8775847,146.0036056,143.4617213,153.8690643,150.4183131,159.7768127,34.2843456,57.39032684,53.2199297,98.9721333,160.5091642,131.8793443,120.0101486,110.7625996,142.3893086
cds-C4N14_05855,72.84360076,54.65762905,67.52147168,91.01212142,63.4798285,94.66121775,88.24843392,89.47296209,123.0281458,13.13491163,16.54495909,14.35144172,18.44056257,25.58292463,21.92841556,51.63227325,58.56028678,51.65435538
cds-C4N14_05860,402.0299492,399.7587176,365.9859479,212.3616166,403.8022424,373.3532501,203.2731021,345.5731072,233.2741465,740.2301891,550.6369196,612.5275055,545.0470077,498.2037693,477.1746765,424.9196542,426.653518,448.2374654
cds-C4N14_05865,15902.70334,16260.0462,18940.26209,19095.11764,18079.40782,17166.60605,19350.54335,16564.81673,21868.65235,7050.108159,10149.29834,10706.7735,12566.19298,11104.50532,10437.3081,13334.38343,12577.41108,13448.14346
cds-C4N14_05870,1999.584644,1960.094391,1710.543949,1276.106128,1916.032824,1154.749265,1262.254309,1548.271257,1230.814047,1208.857121,972.7918914,937.6275255,912.9245597,1594.668969,1547.034275,987.990526,874.7233694,1033.087108
cds-C4N14_05875,878.5716733,957.9048712,801.4505116,775.8621982,952.1974276,758.4656577,850.4282841,824.7073027,765.3309328,437.4593448,493.5051078,469.0130883,478.9877772,704.3831916,642.1010696,472.0166602,454.0931952,493.4350264
cds-C4N14_05880,755.1267926,763.2120028,737.3540421,647.4124665,804.0778277,598.5411159,695.4278297,740.421179,703.0179758,346.8507172,267.5630103,273.2753694,316.7575115,416.3384105,380.8131885,444.1073233,357.0504343,426.4882632
cds-C4N14_05885,275.8047784,192.6980645,270.0858867,717.7693547,331.8584368,596.7772423,594.3569737,540.7279013,533.6545544,37.40110429,68.24795624,50.82802275,45.28441948,42.44870458,50.65155142,158.0366202,119.1283548,175.3529433
cds-C4N14_05890,53.93762804,42.68880517,47.46074458,36.14665815,40.90922281,19.99056772,40.35291636,32.41773989,28.22723691,59.66366637,46.01566746,39.26713914,59.99018457,63.86256001,59.6082282,46.39927258,46.178969,43.49840453
cds-C4N14_05900,72.28754274,50.66802109,63.11789744,74.87522046,59.24783994,45.27275631,61.4721997,48.62660983,38.34643504,113.5390666,99.26975453,121.5886034,81.23184525,69.16864808,66.40294851,95.58947886,110.4279694,77.48153307
cds-C4N14_05905,21.68626282,32.31582448,26.91073147,25.1735655,26.09726283,15.28690473,19.61076309,31.76938509,15.97768127,76.58321355,60.49250667,64.38216215,45.28441948,42.82771087,42.62142742,44.65493903,47.18285964,35.68228497
cds-C4N14_05910,36.14377137,16.75635343,25.93215941,24.52808946,27.8605914,18.81465197,24.51345387,33.06609468,19.7058069,87.26924335,59.97547669,76.14237133,45.05099464,34.11056618,47.87189311,48.49247285,40.82488564,37.38144139
cds-C4N14_05915,109.5434301,59.8441194,91.49648698,129.7406837,76.1757942,125.2350272,122.1901393,109.5719608,105.4526964,58.10528702,50.92745219,57.60509245,33.3797525,33.3525536,37.0621108,54.42320694,47.18285964,44.51789839
cds-C4N14_05920,17.23779865,13.56466706,10.27500656,21.30070927,11.99063427,18.81465197,16.59372262,16.85722474,17.5754494,66.11980937,51.70299715,51.42599948,30.34522955,23.49839003,34.90015434,40.46853849,30.11671892,23.78818998
cds-C4N14_05925,87.85716733,59.04619781,69.96790181,175.5694824,88.51909419,177.563278,131.6183908,121.2423472,127.8214501,185.2245165,184.8382148,195.9370445,468.7170841,327.082429,365.6794932,177.573156,197.0971938,146.467284
